TIME;TPF ALL AVG
2025-11-11 22:05:00;-0,1
2025-11-11 22:15:00;-0,09
2025-11-11 22:25:00;-0,02
2025-11-11 22:35:00;0,05
2025-11-11 22:45:00;0,05
2025-11-11 22:55:00;0,05
2025-11-11 23:05:00;0,05
2025-11-11 23:15:00;0,05
2025-11-11 23:25:00;0,05
2025-11-11 23:35:00;0,05
2025-11-11 23:45:00;0,05
2025-11-11 23:55:00;-0,02
2025-11-12 00:05:00;-0,1
2025-11-12 00:15:00;-0,1
2025-11-12 00:25:00;-0,1
2025-11-12 00:35:00;-0,1
2025-11-12 00:45:00;-0,11
2025-11-12 00:55:00;-0,1
2025-11-12 01:05:00;-0,1
2025-11-12 01:15:00;-0,1
2025-11-12 01:25:00;-0,1
2025-11-12 01:35:00;-0,1
2025-11-12 01:45:00;-0,1
2025-11-12 01:55:00;-0,1
2025-11-12 02:05:00;-0,1
2025-11-12 02:15:00;-0,1
2025-11-12 02:25:00;-0,1
2025-11-12 02:35:00;-0,1
2025-11-12 02:45:00;-0,1
2025-11-12 02:55:00;-0,1
2025-11-12 03:05:00;-0,1
2025-11-12 03:15:00;-0,1
2025-11-12 03:25:00;-0,1
2025-11-12 03:35:00;-0,1
2025-11-12 03:45:00;-0,1
2025-11-12 03:55:00;-0,1
2025-11-12 04:05:00;-0,1
2025-11-12 04:15:00;-0,1
2025-11-12 04:25:00;-0,1
2025-11-12 04:35:00;-0,1
2025-11-12 04:45:00;-0,1
2025-11-12 04:55:00;-0,1
2025-11-12 05:05:00;-0,1
2025-11-12 05:15:00;-0,1
2025-11-12 05:25:00;-0,1
2025-11-12 05:35:00;-0,1
2025-11-12 05:45:00;-0,1
2025-11-12 05:55:00;-0,1
2025-11-12 06:05:00;-0,1
2025-11-12 06:15:00;-0,1
